Run,7/129,8/257,9/513,10/1025,11/2049
1,0.042428,0.297853,2.418604,19.447257,155.714830
2,0.037713,0.304499,2.379558,19.680440,156.182439
3,0.042929,0.301111,2.457382,19.596284,156.816954
4,0.038162,0.309387,2.451493,19.849877,156.950196
5,0.038270,0.299579,2.440210,19.534598,156.496499
6,0.037911,0.300255,2.371590,19.502806,156.930858
7,0.037851,0.306607,2.431306,19.813396,156.207849
8,0.037722,0.321236,2.365613,19.518160,156.805691
9,0.037922,0.299291,2.375859,19.501114,155.856545
10,0.037797,0.300228,2.369426,19.667101,157.447816
