Run,7/129,8/257,9/513,10/1025,11/2049
1,0.144638,1.154691,9.369322,74.098292,591.464837
2,0.143648,1.148119,9.394856,76.704360,589.347720
3,0.145777,1.154056,9.259983,75.401356,589.872649
4,0.143551,1.152652,9.198448,73.513893,587.820899
5,0.144086,1.152098,9.218713,74.084979,596.409765
6,0.144606,1.150156,9.242635,73.759269,590.956883
7,0.143881,1.152804,9.206997,73.490102,588.832638
8,0.143616,1.148180,9.187789,73.443437,588.913073
9,0.145205,1.145749,9.145376,73.018272,590.622360
10,0.143975,1.150483,9.190398,73.481812,589.561304
